id	translation
article.close	Zamknij
article.info	Więcej informacji na temat klastra <bold>#{{id}}</bold> ze strony ETO Map of Science
article.openInNewTab	Otwórz w nowej karcie
article.youtubeRelated	Powiązane segmenty "Czytamy Naturę"
article.youtubeNone	Brak powiązanych segmentów "Czytamy Naturę"
map.loading	Ładowanie mapy
search.dropdown.youtubeCount	Filmy na YouTube
search.dropdown.enterMin	Wpisz co najmniej 3 znaki
search.dropdown.loading	Ładowanie
search.dropdown.noResults	Brak wyników
search.dropdown.placeholder	Wyszukaj termin, np. {{placeholder}}
search.dropdown.searchLabel	Szukaj
search.dropdown.reset	Reset
search.dropdown.placeholder.1	fizyka kwantowa, quantum, ...
search.dropdown.placeholder.2	genetyka, sequencing, ...
search.dropdown.placeholder.3	chemia organiczna, catalyst, ...
search.dropdown.placeholder.4	logika rozmyta, fuzzy, ...
search.dropdown.placeholder.5	energetyka, power, ...
search.dropdown.placeholder.6	rybołówstwo, fish, ...
search.dropdown.placeholder.7	prawo międzynarodowe, border, ...
search.dropdown.placeholder.8	ekonomia behawioralna, decision, ...
search.dropdown.placeholder.9	cyberbezpieczeństwo, security, ...
toggles.mode.regular	Tryb standardowy
toggles.mode.growth	Wskaźnik rozwoju
toggles.clusterCountLabel	Liczba klastrów
toggles.tooltip.mode.regular.title	Tryb standardowy
toggles.tooltip.mode.growth.title	Wskaźnik rozwoju
toggles.tooltip.mode.regular.description	Klaster to grupa artykułów naukowych. Okręgi reprezentujące klastry różnią się wielkością: większe zawierają więcej artykułów naukowych.
toggles.tooltip.mode.growth.description	Wskaźnik rozwoju to miara tego, jak szybko rozwijał się dany klaster w ciągu ostatnich 3 lat, w porównaniu z innymi klastrami. Kolor niebieski - klastry rozwijające się wolniej od średniej. Kolor czerwony - klastry rozwijające się szybciej od średniej.
toggles.tooltip.clusterCount.description.line1	Łączna liczba klastrów to ok. 86 tysięcy. Na mapie wyświetlane są tylko największe z nich.
toggles.tooltip.clusterCount.description.line2	Domyślnie wyświetlanych jest to 500 największych klastrów. Obecnie maksymalna wartość to 3000. Wybór większych wartości może spowolnić działanie mapy.
toggles.tooltip.clusterCount.description.note	Pracujemy nad poprawieniem wydajności mapy, aby w przyszłości możliwe było wyświetlanie większej liczby klastrów i dodatkowych parametrów.
toggles.languages.language	Język
toggles.languages.pl	polski
toggles.languages.en	angielski
map.clusterDetails.articleCount	Liczba artykułów: {{count}}
map.clusterDetails.growthRating	Wskaźnik rozwoju: {{rating}}
map.clusterDetails.keywordsLabel	Słowa kluczowe
